Name,Rank,Affiliation,% Docs Cited,Web of Science Documents,Times Cited,Category Normalized Citation Impact,% Documents in Top 1%,% Documents in Top 10%,% Highly Cited Papers,Highly Cited Papers,% International Collaborations,Documents in Q1 Journals,Documents in Q2 Journals
"Lavazza, Antonio",1,IZS Lombardia e Emilia,72.72727272727273,33,171,1.628875757575758,3.0303030303030303,15.151515151515152,3.0303030303030303,1,33.33333333333333,10,9
"Moreno, Ana",2,IZS Lombardia e Emilia,72.72727272727273,22,116,1.7606818181818182,4.545454545454546,13.636363636363635,4.545454545454546,1,18.181818181818183,3,7
"Lelli, Davide",3,IZS Lombardia e Emilia,71.42857142857143,21,105,1.7502428571428574,4.761904761904762,14.285714285714285,4.761904761904762,1,19.047619047619047,4,5
"Alborali, Giovanni Loris",4,IZS Lombardia e Emilia,31.25,16,15,0.53525,0.0,6.25,0.0,0,12.5,2,1
"Brocchi, Emiliana",4,IZS Lombardia e Emilia,56.25,16,46,0.8712562500000002,0.0,12.5,0.0,0,68.75,5,1
"Boniotti, Maria Beatrice",4,IZS Lombardia e Emilia,68.75,16,69,1.1817749999999998,0.0,18.75,0.0,0,12.5,4,2
"Bolzoni, Luca",7,IZS Lombardia e Emilia,66.66666666666666,15,44,1.12122,0.0,6.666666666666667,0.0,0,33.33333333333333,4,3
"Amadori, Massimo",8,IZS Lombardia e Emilia,85.71428571428571,14,86,2.4469285714285713,0.0,28.57142857142857,0.0,0,35.714285714285715,7,2
"Scaltriti, Erika",8,IZS Lombardia e Emilia,71.42857142857143,14,76,1.022357142857143,7.142857142857142,7.142857142857142,7.142857142857142,1,21.428571428571427,4,3
"Chiapponi, Chiara",8,IZS Lombardia e Emilia,71.42857142857143,14,98,1.8172785714285715,7.142857142857142,14.285714285714285,7.142857142857142,1,28.57142857142857,3,4
"Pongolini, Stefano",11,IZS Lombardia e Emilia,76.92307692307693,13,103,1.3015538461538463,7.6923076923076925,15.384615384615385,7.6923076923076925,1,23.076923076923077,6,3
"Sozzi, Enrica",12,IZS Lombardia e Emilia,75.0,12,86,2.3033583333333336,8.333333333333332,16.666666666666664,8.333333333333332,1,16.666666666666664,2,4
"Fedrizzi, Giorgio",13,IZS Lombardia e Emilia,50.0,10,22,0.44003000000000003,0.0,0.0,0.0,0,30.0,3,2
"Losio, M. N.",14,IZS Lombardia e Emilia,22.22222222222222,9,7,0.18972222222222224,0.0,0.0,0.0,0,0.0,2,6
"Calzolari, Mattia",14,IZS Lombardia e Emilia,77.77777777777779,9,26,1.255111111111111,0.0,11.11111111111111,0.0,0,33.33333333333333,3,1
"Bonilauri, Paolo",16,IZS Lombardia e Emilia,75.0,8,27,0.928625,0.0,12.5,0.0,0,12.5,3,1
"Formenti, Nicoletta",16,IZS Lombardia e Emilia,50.0,8,14,0.6138,0.0,0.0,0.0,0,62.5,0,3
"Lombardi, Guerino",16,IZS Lombardia e Emilia,50.0,8,5,0.21531250000000002,0.0,0.0,0.0,0,25.0,3,1
"Prosperi, Alice",16,IZS Lombardia e Emilia,87.5,8,83,2.6149625,12.5,12.5,12.5,1,25.0,2,4
"Tosi, Giovanni",16,IZS Lombardia e Emilia,62.5,8,19,1.4936125000000002,0.0,25.0,0.0,0,50.0,3,1
"Bertocchi, Luigi",21,IZS Lombardia e Emilia,42.857142857142854,7,12,0.9469714285714286,0.0,0.0,0.0,0,28.57142857142857,2,0
"Grazioli, Santina",21,IZS Lombardia e Emilia,28.57142857142857,7,21,0.5277000000000001,0.0,0.0,0.0,0,85.71428571428571,2,0
"Trogu, Tiziana",21,IZS Lombardia e Emilia,85.71428571428571,7,16,2.0160285714285715,0.0,14.285714285714285,0.0,0,14.285714285714285,0,3
"Capucci, Lorenzo",21,IZS Lombardia e Emilia,71.42857142857143,7,13,0.9562428571428573,0.0,14.285714285714285,0.0,0,42.857142857142854,3,1
"Barbieri, Ilaria",21,IZS Lombardia e Emilia,57.14285714285714,7,16,0.8738571428571429,0.0,0.0,0.0,0,14.285714285714285,2,2
"Bertasio, Cristina",26,IZS Lombardia e Emilia,83.33333333333334,6,18,1.3137,0.0,16.666666666666664,0.0,0,16.666666666666664,1,0
"Arrigoni, Norma",26,IZS Lombardia e Emilia,66.66666666666666,6,55,2.0289333333333333,16.666666666666664,16.666666666666664,16.666666666666664,1,33.33333333333333,3,1
"Luini, Mario",26,IZS Lombardia e Emilia,33.33333333333333,6,8,0.2662333333333334,0.0,0.0,0.0,0,66.66666666666666,1,0
"Pezzoni, Giulia",26,IZS Lombardia e Emilia,33.33333333333333,6,21,0.61565,0.0,0.0,0.0,0,66.66666666666666,2,0
"Salogni, Cristian",26,IZS Lombardia e Emilia,33.33333333333333,6,4,0.44078333333333336,0.0,0.0,0.0,0,0.0,1,1
"Scali, Federico",26,IZS Lombardia e Emilia,50.0,6,5,1.2039166666666667,0.0,0.0,0.0,0,33.33333333333333,0,0
"Massi, Paola",26,IZS Lombardia e Emilia,83.33333333333334,6,19,1.9914833333333333,0.0,33.33333333333333,0.0,0,50.0,3,1
"Ruggeri, Jessica",26,IZS Lombardia e Emilia,50.0,6,6,0.4652333333333334,0.0,0.0,0.0,0,16.666666666666664,1,1
"Dottori, Michele",34,IZS Lombardia e Emilia,80.0,5,35,1.02714,0.0,20.0,0.0,0,20.0,2,1
"Fusi, Francesca",34,IZS Lombardia e Emilia,40.0,5,11,0.92806,0.0,0.0,0.0,0,40.0,2,0
"Menotta, Simonetta",34,IZS Lombardia e Emilia,60.0,5,13,0.56504,0.0,0.0,0.0,0,20.0,3,1
