"Year","N","MeanTCperArt","MeanTCperYear","CitableYears"
"2000","5","40.2","2.11578947368421","19"
"2001","6","24.5","1.36111111111111","18"
"2002","6","19.8333333333333","1.16666666666667","17"
"2003","2","1.5","0.09375","16"
"2004","2","4","0.266666666666667","15"
"2005","26","17.0769230769231","1.21978021978022","14"
"2006","33","26.9393939393939","2.07226107226107","13"
"2007","40","18.75","1.5625","12"
"2008","42","25.2857142857143","2.2987012987013","11"
"2009","58","22.1034482758621","2.21034482758621","10"
"2010","45","20.3555555555556","2.26172839506173","9"
"2011","50","18.08","2.26","8"
"2012","61","15.9180327868852","2.27400468384075","7"
"2013","64","14.671875","2.4453125","6"
"2014","92","12.5978260869565","2.5195652173913","5"
"2015","80","11.1","2.775","4"
"2016","86","7.94186046511628","2.64728682170543","3"
"2017","93","7.27956989247312","3.63978494623656","2"
"2018","88","1.35227272727273","1.35227272727273","1"
