"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","virus","rischio","metodi","controllo","paratubercolosi","bovina","latte","sviluppo","validazione","diagnosi"
"2","suino","infezione","produzione","bovis","nazionale","epidemiologia","benessere","standardizzazione","allevamento","monitoraggio"
"3","caratterizzazione","molecolare","attraverso","caratterizzazione","mycobacterium","benessere","sistemi","alimenti","sorveglianza","tubercolosi"
"4","bovina","alimentare","sviluppo","gestione","cellulari","alimenti","bovino","sicurezza","identificazione","principali"
"5","pcr","latte","anticorpi","laboratorio","fauna","emergenti","veterinaria","infezione","patogeni","produzione"
"6","cellule","sorveglianza","impiego","modello","filiera","rilevazione","antibioticoresistenza","caratterizzazione","approccio","zoonosico"
"7","territorio","vivo","vitro","antibiotici","informativo","diffusione","innovativi","analitiche","nuove","efficacia"
"8","coli","ruolo","definizione","condizioni","isolati","patologie","pubblica","bovina","stato","indicatori"
"9","epidemiologia","clinici","tipizzazione","selvatici","salute","selvatici","trasmissione","influenza","epidemiologia","isolamento"
"10","autorizza","genetica","trasmissione","allevamento","selvatica","determinazione","aureus","isolati","formazione","microrganismi"
